Comment,Likes,Comment_EN,Polarity,Sentiment
denger “naik perahu” fatimah sampe kaget😭 krn that’s the POINT infrastruktur lebih penting,1.1K,"When I heard Fatimah's ""boat ride"" I was shocked 😭 because that's the POINT infrastructure is more important",0.0666666666666667,Positif
fatimah azahra publik speaking nya udah bisa mantatin presiden sama wakilnya😂,524,Fatimah Azahra's public speaking has been able to control the president and his deputy😂,0.25,Positif
Bapak baju hitam punya banyak dapur di daerah Sulawesi makanya membela banget program ini,45,"Mr. Black has many kitchens in the Sulawesi area, so he really defends this program",0.1777777777777778,Positif
Dukung mahasiswa untuk indonesia lebih baik,427,Support students for a better Indonesia,0.5,Positif
"PREEET itu pak siapa yg mewakili pemeritah dari gerindra, perputaran ekonomi apa ???, pasar tradisional skrg sepi pembeli, pedagangnya jg kesulitan membeli (kulakan) dg harga yg sdh tinggi krn sdh diborong SPPG, akhirnya pedagang kecil kesulitan menjual dagangannya krn hrg jd mahal.",435,"PREEET sir, who represents the government from Gerindra, what is the economic turnaround???, traditional markets are now devoid of buyers, traders are also having difficulty buying (wholesale) at prices that are already high because they have been bought up by SPPG, in the end small traders are having difficulty selling their wares because the prices are so expensive.",-0.08166666666666667,Negatif
RISPEKK BGT SAMA KAK FATIMAH LUVV SANGAT MEWAKILKAN RAKYATT,22,GREAT RISPEKK WITH SISTER FATIMAH LUVV REPRESENTING THE PEOPLE,0.8,Positif
Nama dia aja sebagus itu. Bercahaya banget sesuai nama,186,Even his name is that good. Very bright as the name suggests,0.805,Positif
polisi tidak netral dan sdh berpihak ke penguasa krn punya dapur2x MBG,577,The police are not neutral and have sided with the authorities because they own MBG's kitchens,0.6,Positif
"nahhh ini fungsi MBG itu, biar siswa kuat dayung, hiking, renang, panjat tebing, arum jeram, caving setelah pulang sekolah menuju rumahnyaa, yasalammm",157,"Well, this is the function of MBG, so that students can be strong in rowing, hiking, swimming, rock climbing, white water rafting, caving after school and going home, yasalammm",0.21666666666666667,Positif
Hitung juga berapa banyak porsi yang kebuang jadi pakan ternak. Gak dimakan siswa wkwkw,608,Also calculate how many portions are wasted as animal feed. The students didn't eat it hahaha,0.16666666666666666,Positif
"Harusnya dari awal MBG diprioritaskan untuk T3, bukan diperkotaan dulu.",66,"MBG should have been prioritized for T3 from the start, not urban areas first.",0.125,Positif
"Dia biling mengutungkan UMKM
UMKM yg mana dulu??? 
Lu liat noh UMKM PKL di sekitar sekolahan, boro boro untung semenjak ada MBG dagangan mereka sepi modal terus ke gerus, sebagian UMKM PKL yg di perkampungan menjual makanan tumbang gulung tikar yg masih bertahan pendapatan mereka morosot semenjak ada MBG,, kalo gak percaya silakan survey aja ke setiap sekolahan, MBG di jadikan gurita bisnis dapur para parpol, polisi TNI semua punya bisnis dapur yg kaya makin kaya, sedangkan PKL yg rakyat miskin semakin miskin, di tambah bahan baku pada naik pedagang kecil semakin miskin semakin menderita,
Bener apa kata Fatimah",131,"He said it would benefit MSMEs
Which UMKM first??? 
You look at the PKL UMKMs around schools, they are making a lot of profit since there was MBG, their business is running out of capital and they are being eroded, some of the PKL UMKMs in the villages who sell food have gone bankrupt and are still surviving, their income has plummeted since there was MBG, if you don't believe me, just do a survey at every school, MBG has been used as an octopus for the political parties' kitchen businesses, the TNI police all have kitchen businesses, the rich are getting richer, while the PKLs the poor people",0.056249999999999994,Positif
JUBIR GERINDRA YAA 100% MEMBELA PRABOWO WKWK,181,GERINDRA SPOKE YES 100% DEFENDS PRABOWO WKWK,0.0,Netral
"Ya Allah lindungi anak"" mahasiswa",149,"Ya Allah, protect students and children",0.0,Netral
"Yg wajib wajib di abaikan oleh negara sangat jelas.. yg receh receh di pertegas.. ngapain negara ngurusin makan 😂.. toh selama ini rakyat bisa makan cari sendiri. 

Yg wajib negara ya cerdas kan bangsa dan pelihara dna sejahterakan fakir miskin. 

Bubarkan MBG banyak Mudharat nya",49,"What must be ignored by the state is very clear.. the small change is emphasized.. why is the state taking care of food 😂.. after all this time the people have been able to find their own food. 

What is obligatory for the state is to be smart as a nation and look after and prosper the poor. 

Dissolving MBG will have many disadvantages",0.18489795918367344,Positif
"Bangkit mahasiswa
Demi perbaikan bangsa",142,"Rise up students
For the betterment of the nation",0.0,Netral
لَا إِلٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ,8,لَا إِلٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ,0.0,Netral
